City Feature,Common Name,Address,Website,Longitude,Latitude
South Lake Union Trolley,Fred Hutchinson Cancer Center Station,Fairview Ave N & Campus Drive,http://www.seattlestreetcar.org/map/,-122.332174,47.627715
South Lake Union Trolley,Terry & Mercer Station,Terry Ave N & Mercer St,http://www.seattlestreetcar.org/map/,-122.337042,47.623296
South Lake Union Trolley,Group Health Station,Terry Ave N & Thomas St,http://www.seattlestreetcar.org/map/,-122.337074,47.6209
South Lake Union Trolley,Seattle Childrens Hospital Station,Westlake Ave & 7th Ave,http://www.seattlestreetcar.org/map/,-122.337842,47.61528
South Lake Union Trolley,Pacific Place Station/Westlake Hub,Westlake Ave & Olive Way,http://www.seattlestreetcar.org/map/,-122.337348,47.612937
South Lake Union Trolley,2201 Westlake Station,Westlake Ave & 9th Ave,http://www.seattlestreetcar.org/map/,-122.33847,47.61805
South Lake Union Trolley,Westlake & Mercer Station,Westlake Ave N & Mercer St,http://www.seattlestreetcar.org/map/,-122.338549,47.624639
South Lake Union Trolley,Lake Union Park/Uw Medicine Station,860 Terry Ave N,http://www.seattlestreetcar.org/map/,-122.337031,47.62572
South Lake Union Trolley,Pan Pacific Hotel Seattle Station,Westlake Ave & Denny Wy,http://www.seattlestreetcar.org/map/,-122.338347,47.618624
South Lake Union Trolley,Evergreen Bank Station,Westlake Ave N and Thomas St,http://www.seattlestreetcar.org/map/,-122.338582,47.620934
